station_code,name,lat,lon,status,rain,rain_mm,date,date_iso,temperature_c,humidity_pct,battery_v,solar_volt_v,icon_filename,image_path
G1001,King Mongkut is Institute of Technology Ladkrabang Prince of Chumphon Campus,10.732066,99.365284,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,26.2,-3.9,12.7,0.0,raingauge_4.png,FILES/RAINGAUGE/1/1_1_M1 ปะทิว02_๒๐๑๒๒๘_199.jpeg
G1002,Ban Bang Waen Sub-District Health Promoting Hospital,10.89751,99.430524,ONLINE,No Rain,,12/11/2025 13:38 UTC,2025-11-12T13:38:00,25.7,-3.9,12.1,0.0,raingauge_4.png,FILES/RAINGAUGE/2/1_2_Station 1002_๒๑๐๔๒๖_0.jpg
G1003,Salui Sub-District Health Promoting Hospital,10.872415,99.24979,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,25.5,93.9,12.4,1.5,raingauge_4.png,FILES/RAINGAUGE/3/1_3_Station 1003_๒๑๐๔๒๖_0.jpg
G1004,Ban Tham Charoen Sub-District Health Promoting Hospital,10.86492,99.114881,TIMEOUT,Pour 38.0 mm,38.0,12/11/2025 09:04 UTC,2025-11-12T09:04:00,29.2,-3.4,10.2,10.8,raingauge_7.png,FILES/RAINGAUGE/4/1_4_Statio 1004_๒๑๐๔๒๖_0.jpg
G1005,Ban Panwan Sub-District Health Promoting Hospital,10.777483,99.004612,TIMEOUT,No Rain,,12/11/2025 13:12 UTC,2025-11-12T13:12:00,25.9,-3.9,11.5,0.0,raingauge_4.png,FILES/RAINGAUGE/5/1_5_Station1005_๒๑๐๔๒๖_0.jpg
G1006,Tha Sae Sub-District Health Promoting Hospital,10.663167,99.19347,ONLINE,Damp 7.2 mm,7.2,12/11/2025 13:40 UTC,2025-11-12T13:40:00,25.8,97.5,12.6,0.0,raingauge_5.png,FILES/RAINGAUGE/6/1_6_Station 1006_๒๑๐๔๒๖_0.jpg
G1007,Ban Wang Mai Sub-District Health Promoting Hospital,10.502423,99.026354,ONLINE,Damp 0.2 mm,0.2,12/11/2025 13:41 UTC,2025-11-12T13:41:00,26.7,-3.9,12.1,0.1,raingauge_5.png,FILES/RAINGAUGE/7/1_7_Station1007_๒๑๐๔๒๖_0.jpg
G1008,Bang Mak Sub-District Health Promoting Hospital,10.42585,99.183896,ONLINE,No Rain,,12/11/2025 13:42 UTC,2025-11-12T13:42:00,25.8,92.6,12.3,0.8,raingauge_4.png,FILES/RAINGAUGE/8/1_8_Station 1008_๒๑๐๔๒๖_0.jpg
G1009,Ban Nam Cha Sub-District Health Promoting Hospital,10.309452,99.023025,TIMEOUT,Damp 1.4 mm,1.4,12/11/2025 12:30 UTC,2025-11-12T12:30:00,25.9,-3.9,10.3,0.0,raingauge_5.png,FILES/RAINGAUGE/9/1_9_Station 1009_๒๑๐๔๒๖_0.jpg
G1010,Chong Mai Kaeo Sub-District Health Promoting Hospital,10.137002,99.054315,ONLINE,No Rain,,12/11/2025 13:41 UTC,2025-11-12T13:41:00,27.4,-3.9,12.4,0.2,raingauge_4.png,FILES/RAINGAUGE/10/1_10_Station 1010_๒๑๐๔๒๖_0.jpg
G1011,Khao Khai Sub-District Health Promoting Hospital,10.121726,98.896399,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,25.2,96.7,12.5,0.0,raingauge_4.png,FILES/RAINGAUGE/11/1_11_Station1011_๒๑๐๔๒๖_0.jpg
G1012,Na Phaya Health Promoting Hospital,9.89495,99.105081,ONLINE,No Rain,,12/11/2025 13:40 UTC,2025-11-12T13:40:00,0.0,0.0,13.6,0.7,raingauge_4.png,FILES/RAINGAUGE/12/1_12_169531.jpg
G1013,Ban Nai Hom Sub-District Health Promoting Hospital,9.86925,98.92967,ONLINE,Damp 0.8 mm,0.8,12/11/2025 13:41 UTC,2025-11-12T13:41:00,27.2,-3.9,11.7,0.0,raingauge_5.png,FILES/RAINGAUGE/13/1_13_26.jpg
G1014,Ban Khlong Song Sub-District Health Promoting Hospital,9.74044,98.971332,ONLINE,No Rain,,12/11/2025 13:44 UTC,2025-11-12T13:44:00,25.4,-3.9,11.1,0.0,raingauge_4.png,FILES/RAINGAUGE/14/1_14_Station1014_๒๑๐๔๒๖_0.jpg
