station_code,station_name,date,_timeUTC,_rain_mm,_temp_c,_humidity_
G1027,Takuk Nuea Sub-District Health Promoting Hospital,01/10/2025,01/10/2025 00:00:00,15.2,23.2,95.8
G1027,Takuk Nuea Sub-District Health Promoting Hospital,02/10/2025,02/10/2025 00:03:00,0.0,23.5,95.8
G1027,Takuk Nuea Sub-District Health Promoting Hospital,03/10/2025,03/10/2025 00:03:00,0.0,24.3,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,04/10/2025,04/10/2025 00:04:00,0.0,24.9,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,05/10/2025,05/10/2025 00:02:00,0.0,24.1,95.0
G1027,Takuk Nuea Sub-District Health Promoting Hospital,06/10/2025,06/10/2025 00:02:00,0.0,23.3,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,07/10/2025,07/10/2025 00:01:00,0.0,23.5,94.7
G1027,Takuk Nuea Sub-District Health Promoting Hospital,08/10/2025,08/10/2025 00:02:00,0.0,23.8,94.8
G1027,Takuk Nuea Sub-District Health Promoting Hospital,09/10/2025,09/10/2025 00:04:00,0.0,24.5,94.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,10/10/2025,10/10/2025 00:02:00,0.0,23.5,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,11/10/2025,11/10/2025 00:01:00,0.0,22.8,95.6
G1027,Takuk Nuea Sub-District Health Promoting Hospital,12/10/2025,12/10/2025 00:03:00,0.0,24.2,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,13/10/2025,13/10/2025 00:01:00,0.0,24.0,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,14/10/2025,14/10/2025 00:03:00,0.0,25.2,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,15/10/2025,15/10/2025 00:00:00,0.0,26.3,94.9
G1027,Takuk Nuea Sub-District Health Promoting Hospital,16/10/2025,16/10/2025 00:03:00,0.0,25.4,95.1
G1027,Takuk Nuea Sub-District Health Promoting Hospital,17/10/2025,17/10/2025 00:04:00,0.0,25.3,95.1
G1027,Takuk Nuea Sub-District Health Promoting Hospital,18/10/2025,18/10/2025 00:01:00,0.0,24.6,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,19/10/2025,19/10/2025 00:04:00,0.0,25.7,93.7
G1027,Takuk Nuea Sub-District Health Promoting Hospital,20/10/2025,20/10/2025 00:03:00,0.0,24.7,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,21/10/2025,21/10/2025 00:03:00,0.0,24.2,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,22/10/2025,22/10/2025 00:02:00,0.0,24.1,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,23/10/2025,23/10/2025 00:03:00,0.0,25.3,94.7
G1027,Takuk Nuea Sub-District Health Promoting Hospital,24/10/2025,24/10/2025 00:03:00,0.0,24.6,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,25/10/2025,25/10/2025 00:00:00,13.8,24.7,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,26/10/2025,26/10/2025 00:17:00,1.8,25.0,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,27/10/2025,27/10/2025 00:13:00,2.0,25.6,93.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,28/10/2025,28/10/2025 00:02:00,0.0,25.4,94.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,29/10/2025,29/10/2025 00:01:00,0.0,24.8,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,30/10/2025,30/10/2025 00:02:00,0.0,24.7,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,31/10/2025,31/10/2025 00:03:00,0.0,24.9,95.3
