station_code,station_name,date,_timeUTC,_rain_mm,_temp_c,_humidity_
G1027,Takuk Nuea Sub-District Health Promoting Hospital,01/10/2025,01/10/2025 23:58:00,0.2,23.4,95.8
G1027,Takuk Nuea Sub-District Health Promoting Hospital,02/10/2025,02/10/2025 23:58:00,12.2,24.2,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,03/10/2025,03/10/2025 23:59:00,20.8,24.7,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,04/10/2025,04/10/2025 23:57:59,0.2,23.9,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,05/10/2025,05/10/2025 23:57:00,0.0,23.2,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,06/10/2025,06/10/2025 23:56:59,0.0,23.3,95.0
G1027,Takuk Nuea Sub-District Health Promoting Hospital,07/10/2025,07/10/2025 23:57:00,0.0,23.7,94.9
G1027,Takuk Nuea Sub-District Health Promoting Hospital,08/10/2025,08/10/2025 23:59:00,0.0,24.3,94.8
G1027,Takuk Nuea Sub-District Health Promoting Hospital,09/10/2025,09/10/2025 23:57:00,0.0,23.4,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,10/10/2025,10/10/2025 23:56:00,6.8,22.8,95.6
G1027,Takuk Nuea Sub-District Health Promoting Hospital,11/10/2025,11/10/2025 23:58:00,0.0,24.1,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,12/10/2025,12/10/2025 23:56:00,6.0,23.9,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,13/10/2025,13/10/2025 23:58:00,2.2,25.1,95.1
G1027,Takuk Nuea Sub-District Health Promoting Hospital,14/10/2025,14/10/2025 23:55:00,0.0,26.1,95.1
G1027,Takuk Nuea Sub-District Health Promoting Hospital,15/10/2025,15/10/2025 23:58:00,0.4,25.2,95.1
G1027,Takuk Nuea Sub-District Health Promoting Hospital,16/10/2025,16/10/2025 23:59:00,23.0,25.3,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,17/10/2025,17/10/2025 23:56:00,24.8,24.6,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,18/10/2025,18/10/2025 23:54:00,3.4,25.3,94.5
G1027,Takuk Nuea Sub-District Health Promoting Hospital,19/10/2025,19/10/2025 23:58:00,7.0,24.6,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,20/10/2025,20/10/2025 23:58:00,24.0,24.1,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,21/10/2025,21/10/2025 23:57:00,6.8,24.0,95.4
G1027,Takuk Nuea Sub-District Health Promoting Hospital,22/10/2025,22/10/2025 23:58:00,0.0,25.2,94.7
G1027,Takuk Nuea Sub-District Health Promoting Hospital,23/10/2025,23/10/2025 23:58:00,2.4,24.6,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,24/10/2025,24/10/2025 23:50:00,13.8,24.6,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,25/10/2025,25/10/2025 18:37:59,1.8,24.5,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,26/10/2025,26/10/2025 17:22:00,2.0,25.3,94.8
G1027,Takuk Nuea Sub-District Health Promoting Hospital,27/10/2025,27/10/2025 23:57:00,3.6,25.0,94.6
G1027,Takuk Nuea Sub-District Health Promoting Hospital,28/10/2025,28/10/2025 23:51:00,6.2,24.7,95.2
G1027,Takuk Nuea Sub-District Health Promoting Hospital,29/10/2025,29/10/2025 13:47:00,2.4,24.5,94.5
G1027,Takuk Nuea Sub-District Health Promoting Hospital,30/10/2025,30/10/2025 23:58:00,0.8,24.8,95.3
G1027,Takuk Nuea Sub-District Health Promoting Hospital,31/10/2025,31/10/2025 23:54:00,0.0,25.0,94.5
